seed,n,min,max,in_range_1_8000,chi2,chi2_p,share_rows_1_4800,consistent_with_uniform
0,100000,1,8000,true,94.7936,0.10868273571558984,0.59648,true
1,100000,1,8000,true,66.51039999999999,0.8407662104918224,0.59645,true
42,100000,1,8000,true,83.79679999999999,0.334704918989691,0.60054,true
53,100000,1,8000,true,74.9328,0.60872411069055,0.5999,true
234,100000,1,8000,true,57.06880000000001,0.9702417049113268,0.59886,true
365,100000,1,8000,true,107.3488,0.018646150704730028,0.59885,false
777,100000,1,8000,true,65.9456,0.8527174292794921,0.60167,true
1000,100000,1,8000,true,56.1936,0.9756664764079773,0.60225,true
1500,100000,1,8000,true,72.5024,0.6838077994976327,0.60125,true
3000000,100000,1,8000,true,97.4176,0.07826781722945775,0.60307,true
4294967295,100000,1,8000,true,62.5328,0.9130865590472816,0.60414,true
