seed,n,mean,std,skewness,excess_kurtosis,min,max,ks_d,ks_p,lb_p_10,lb_p_20,lb_p_30,lb_p_40,lb_p_50,lb_min_p,ks_ok,lb_ok,accepted,qq_r,qq_max_abs_dev,rank_among_accepted,selected
0,100000,0.004347302698975003,1.0013351081974373,-0.020014552523567666,-0.005719804241489879,-4.3968412027803385,4.391057242178759,0.004615190391237145,0.028157554707984978,0.2252035517173046,0.039620563141650925,0.05040632601066478,0.026271506974796133,0.054140960780936234,0.026271506974796133,false,false,false,0.9999801291156241,0.03450508280927167,,false
1,100000,0.0035041165804652,1.0024864666104842,0.006208109213445832,-0.001960799322032525,-4.283549061976537,4.243048223785044,0.0036523150276713823,0.13841449205520429,0.3489473019490717,0.309082876517402,0.23594239165540276,0.3995249834337386,0.3841457202125259,0.23594239165540276,true,true,true,0.9999891297485225,0.03424474737094174,6,false
42,100000,-0.0029388268102964856,1.000636087507359,0.013109424454753224,-0.014777198506931821,-4.211651413527317,4.377691870332884,0.003895718652047686,0.09585790298786456,0.42517298355967975,0.3137958431725407,0.5842959735762745,0.694628632085174,0.09277707335009977,0.09277707335009977,true,true,true,0.9999823400083216,0.024548207184394766,8,false
53,100000,-0.0013188894777042461,0.9969366260124243,-0.006804484419811424,0.014354785668687864,-4.406977018363049,4.381360669620329,0.0025281479354735126,0.5441473035873847,0.8227218575505879,0.758873079403739,0.9083970442267493,0.931080451054794,0.9663595486189233,0.758873079403739,true,true,true,0.9999870368491757,0.02315665197762873,4,false
234,100000,0.0016756719505085062,1.0017619000579325,0.0006083869152415921,0.006939810514441369,-4.4746932358277505,4.485728178015666,0.001849812679838525,0.8828949591291692,0.7774767546084586,0.2526724730407926,0.4352528281793512,0.5320277773264398,0.7087827534537092,0.2526724730407926,true,true,true,0.9999959394244461,0.019537773595933672,2,false
365,100000,-0.0011244384064814346,0.9987636860782805,-0.008194900160286612,-0.008022414989067084,-4.787969657684565,4.310201313816649,0.00236142748388668,0.6317556539763389,0.0608532481652491,0.08084338427037573,0.11646294673748064,0.027047259552378376,0.06700813570895103,0.027047259552378376,true,false,false,0.9999894577143196,0.028499499902833847,,false
777,100000,-0.0010944285378779782,1.0012638885226957,-0.0005541877680542882,0.002516637355486573,-4.62412389866999,4.4313425857801585,0.0018183381806984311,0.8949261879464087,0.6629871510296459,0.11738102549969108,0.30380501009918315,0.49921753214587683,0.3407776439822635,0.11738102549969108,true,true,true,0.9999937126793174,0.025377392271500376,1,true
1000,100000,-0.003936971217692415,0.9971281413068417,-0.004952543475686732,-0.009938578636686568,-4.71136419306578,4.905721591434814,0.00324399763542782,0.2427992750200728,0.1517133618479628,0.3232409908506247,0.19017949425927433,0.1972518231612172,0.26268969313946666,0.1517133618479628,true,true,true,0.9999859759396426,0.025075474465158454,5,false
1500,100000,-0.0006439583143473837,1.000739367014585,-0.005233041879997881,0.012435775418003558,-4.454514100342743,4.0543183653357655,0.002159656540777044,0.7385485563143518,0.08592284230581108,0.10806381446730737,0.16355733134994832,0.29134003269263103,0.2616680321414549,0.08592284230581108,true,true,true,0.999992206299922,0.018919944592316273,3,false
3000000,100000,-0.004218173973696252,0.9987293816134504,0.0061855921180213914,0.03242885402011497,-4.7802489119176546,4.367947926319005,0.0036792216965397806,0.13306241180132006,0.9725775242751609,0.9276873387950965,0.8977942964572065,0.9079828756249017,0.575744586924259,0.575744586924259,true,true,true,0.9999873627885381,0.019791747076521204,7,false
4294967295,100000,-0.005458754808557818,1.0014843278064545,0.012536201723645954,0.009718352607924086,-4.229031489329174,5.080836350725325,0.0045396512598164795,0.0323358122622488,0.532564063380079,0.5370015356841529,0.6832033409640424,0.4073489131546983,0.2908748841944531,0.2908748841944531,false,true,false,0.9999899613960792,0.018740873567631766,,false
